Name,DistrictId
Saharna Nouă,27
Sîrcova,27
Slobozia-Horodiște,27
Solonceni,27
Stohnaia,27
Țahnăuți,27
Tarasova,27
Țareuca,27
Țipova,27
Trifești,27
Costești,28
Rîșcani,28
Alexăndrești,28
Aluniș,28
Armanca,28
Avrămeni,28
Bălanul Nou,28
Borosenii Noi,28
Braniște,28
Bulhac,28
Cepăria,28
Ciobanovca,28
Ciubara,28
Corlăteni,28
Cucuieții Noi,28
Cucucieții Vechi,28
Dămășcani,28
Druța,28
Dumeni,28
Duruitoarea,28
Duruitoarea Nouă,28
Gălășeni,28
Grinăuți,28
Hiliuți,28
Horodiște,28
Ivănești,28
Luparia,28
Mălăiești,28
Malinovscoe,28
Mihăileni,28
Mihăilenii Noi,28
Moșeni,28
Nihoreni,28
Păscăuți,28
Petrușeni,28
Pîrjota,28
Pociumbăuți,28
Pociumbeni,28
Proscureni,28
Răcăria,28
Rămăzan,28
Reteni,28
Reeteni-Vasileuți,28
Șaptebani,28
Singureni,28
Slobozia-Recea,28
Știubeieni,28
Sturzeni,28
Șumna,28
Sverdiac,28
Ușurei,28
Văratic,28
Vasileuți,28
Zăicani,28
Biruința,29
Sîngerei,29
Alexăndreni,29
Alexeuca,29
Antonovca,29
Bălășești,29
Bilicenii Noi,29
Bilicenii Vechi,29
Bobletici,29
Bocancea-Schit,29
Brejeni,29
Bursuceni,29
Chirileni,29
Chișcăreni,29
Ciuciuieni,29
Clișcăuți,29
Coada Iazului,29
Copăceni,29
Coșcodeni,29
Cotiujenii Mici,29
Cotovca,29
Cozești,29
Cubolta,29
Dobrogea Nouă,29
Dobrogea Veche,29
Drăgănești,29
Dumbrăvița,29
Evghenievca,29
Flămînzeni,29
Gavrilovca,29
Grigorăuca,29
Grigorești,29
Gura-Oituz,29
Heciul Nou,29
Heciul Vechi,29
Iezărenii Noi,29
Iezărenii Vechi,29
Izvoare,29
Lipovanca,29
Mărășești,29
Mărinești,29
Mihailovca,29
Mîndreștii Noi,29
Nicolaevca,29
Octeabriscoe,29
Pălăria,29
Pepeni,29
Pepenii Noi,29
Petropavlovca,29
Petrovca,29
Prepelița,29
Rădoaia,29
Răzălăi,29
Romanovca,29
Sacarovca,29
Sestaci,29
